講義名,平均評価ポイント,自由記述
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 講義を受ける前は、プログラミングについて何も知らなかったが、講義を受けて基礎の土台を整えることが出来た。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 毎回最初に前回の復習をしてくれたり、VisualStudiocodeの使い方を教えてくれて優しく分かりやすかったです。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 特になし
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 再履修ということもあり理解が深まった。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 難しかったです
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 高校でもC言語について少し学んでいたので再確認することができ良かったです
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / Cプログラミングの基礎を理解できた。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 講義の最初に前回の復習があって助かりました。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / cproの基本を学べた。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 課題で復習できるようになってよかったです。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 今までほとんどプログラミングをやってこなかった自分でもプログラミングの基本を身につけることができとても有意義な時間になりました。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 全然したことなかったけどわかりやすく教えてくださりある程度何をするかはわかった。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / プログラムが理解するのが難しかった。理解できた単元は面白かった
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / プログラミングの知識をつけることが出来たのでよかったです。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / もう少し声を張って授業をしてほしい。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 去年の授業より今年の序業のやり方の方が内容が分かり易かった。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / プログラミングの基礎が身についた
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 授業課題を元にプログラミングの説明をしてくれたのでわかりやすかったです。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 再履修で受けたがしっかりと理解できた。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 難しかったです
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / プログラミングの基礎を学べた。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / c言語のプログラミングの基礎知識を十分に学習するできました。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 今年は再履修生として授業を受けさせていただきました。去年同様わかりやすい説明だったので、よかったです。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / cプロの講義のおかげでプログラミングが楽しくなりました。ありがとうござおました。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 去年より課題が分かりやすくて身についた
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 授業をきちんと聞いていれば、特に困ることはありません。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 課題とテスト頑張ってください。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 特になし特になし
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 真面目に取り組まないと普通に落ちる。毎週の課題をしっかり解いて対策していれば十分に単位は取れる。慣れたら少しプログラムをいじってみるのも練習になる
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 教科書を信頼しよう
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 休むと一瞬で置いて行かれるから気をつけてね
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 中間頑張ったほうがいい
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 自分でC言語のプログラムを書けるようになるべき
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / しっかりとプリントを見て復習をする。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 実習課題の提出を忘れないように気をつけてください。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 授業で配られる資料をもとに勉強する。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 課題とレポートは真面目にやりましょう。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 友達と協力して課題や、復習予習をすることで効率的に進めることができます。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 授業内でその時の課題についてある程度解説してくれるので先生の言うことを聞いていれば授業に遅れることはあまりない。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 家でもプログラムの勉強ができるといい
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 授業をしっかり受けましょう。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 復習必須
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 演習課題などは友達と一緒にやることを進める。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 演習問題の復習
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 一つわからない所があるとその先のこと全て分からなくなるので、休まず授業を受けることが大切だと思います。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / しっかりと勉強すれば単位を落とさないと思う。初めての人は苦戦する人が多いと思うので復習をしっかりとする。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / レポートを9問すべてしたほうがテストが解けるようになる。テスト勉強はレポートをする。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 授業のまとめのwordを各授業ごとに制作しなければならず、授業をよく聞いておく必要がある。 それとは別に第７回、第１３回にて演習課題が出され、ヒントはあるものの自分でプログラムを作る必要がある。日々の復習は念入りにしておくとよい。 また、4回遅刻欠席してしまうと単位がもらえなくなるため、前日は早めに寝ることをおすすめする。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 欠席さえしなければ、ほぼ落とすことはありません。
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / しっかりと課題をやりましょう
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 課題をしっかりする
