講義名,平均評価ポイント,自由記述
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / パイソンでの初歩的な操作方法を学べた。
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 後期の授業ありがとうございました。レポート課題や演習の解説があると嬉しかったです。
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 意外とコンピューター言語のプログラムが難しかったです。
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 課題は基本的には学校のパソコンでしかできない。
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / わからないところは早めに分かるようにしよう
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 授業において行かれないようにする
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / しっかりと課題に取り組んでプログラムの意味を知っておくといいと思います。
1221204　コンピューター言語,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 生成AIを積極的に、ただし賢く活用してください。生成AIとの共存は君たちの世代に必須スキルとなるはずです。
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / 特になし
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / Pythonでよく使う変数がわかりました。
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / 課題の答えをください。わからないところを理解できないままテストに挑む勇気はないです、、
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / 課題の模範解答が欲しかった
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / 特になし
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / よく授業を聞いたほうがいい。
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / 授業内でする演習と自主的にする課題なレベルが違いすぎてわかんない。
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / 課題は応用のようなものが多いので教科書を使って解いた方がいい
1222204　コンピューター言語,平均評価ポイント　　3.16,2024/12/20（金）　～　2025/01/16（木） / 生成AIを積極的に、ただし賢く活用してください。少なくともプログラミングについては教育効果が高いです。
1233206　毒性学,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / 覚える量が多かったので、それほど大事な内容なんだと感じた。
1233206　毒性学,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / なし
1233206　毒性学,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / 授業でどこが大事かが分かって良かったです。
1233206　毒性学,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / 前期と比べたら一気に覚える量が増える。
1233206　毒性学,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / テストの覚える量が多いです。
1233206　毒性学,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / なし
1233206　毒性学,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / テストを頑張る
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 復習プリントを授業後にする人なので、すぐにアップしてほしい。何日か跨ぐとまたその間の授業の課題があるため、めんどくさい。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / ありがとうございました。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 面白かったです
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / なし
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / スライドが早かった。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 課題の解答解説をして欲しい
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 聞いたことのある単語を詳しく勉強できた
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / DNAについて深く学んだ。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 復習プリントがまとめられていることでテスト勉強がスムーズに出来ました
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 後期の授業ありがとうございました！
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 宿題の答えを次の週とかでもいいので出して欲しいです。最後まで分からないままできついです
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 特にありません
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / たのしかったでやんす
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 聞きに行くと丁寧に教えてくれるので理解が深まりました。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 生命工学実験を取っていなかったので難しかった。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 復習プリントの答えを教えてほしいです。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 内容が難しいです。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / ちゃんともっと勉強してテストに挑みたかった。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 遺伝子工学の基礎を学ぶことができた。 しかし、授業が30分ほど早く終わることも多かったので、もう少し各内容について深掘りをするか基礎だけでなく現行の解析手法についても取り上げて欲しい。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / プリントだけじゃ理解しづらいからちゃんと聞いた方が良い。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 授業をしっかり聞いて、課題をしましょう。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 勉強なりました
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / なし
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 勉強しろ。
