講義名,平均評価ポイント,自由記述
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 難しい。恐ろしいほどに
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 2つの教室に分かれることで広々と作業ができました。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 35mmのタイヤを販売して欲しかった。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 難しかったです。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 普通科の高校から来たものには少し難易度が高すぎると私は感じる。確かに数をこなし諦めない心があれば単位取得は可能だろうがもう少し知識のないものに配慮してほしいとは思う。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 必修ではなく選択科目にしてほしい。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 課題をちゃんとこなすこと
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / コツコツと作業をしましょう。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / はやめはやめに車を作っていった方がいいです。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 難しいので時間をかけて作ることをおすすめします。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 電気工学概論と同じで電気自動車を作りますが、ミニ四駆のコースを3周することが合格条件です。ですが、授業中に出される課題をないがしろにしては合格できませんので、注意して下さい。スケジュール的に早めに作業を進めておかないと間に合わないです。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / 諦めない心が大切だと思う。
1421102　エンジニアリングデザインI,平均評価ポイント　　3.16,2024/07/03（水）　～　2024/07/19（金） / まだ完走できていない人は諦めずに頑張りましょう！
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 自分で考えて工作し、改善していくのがいい経験になった。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 提出期限を当日の23時59分までにしてほしかった。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 合格基準が少し厳しいと感じました。ですが、完走したら達成感は大きかったです。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 3極モータの特性や、作成方法を理解することがで来ました。この経験を今後の学校生活に活かしていきたいと思います。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 担当してるクラス、先生によって製図の採点基準が違うかったのでそこは不平等だと思った。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 授業終わりのプリント提出期限が短すぎるので伸ばして欲しい、
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 大変だったが、改めて物を作る楽しさを実感した。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 難しかったです。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 早めに工作を終れた方が期末テストに取り組めるからオススメです
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 計画を立てて製作を進めることをお勧めします。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 本当に計画的に進めないと期間内に合格は難しくなってくるので気をつけたほうがいいと思います。
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 計画的に頑張ってください
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 計画を持って取り組むこと
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / 早め、早めに取り掛かって下さい
1422101　エンジニアリングデザインI,平均評価ポイント　　3.30,2024/07/03（水）　～　2024/07/19（金） / まだ完走できていない人は諦めずに頑張りましょう！
1421205　メカトロニクスI,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / 私はこの講義を振り返って、プログラミングを用いた車やダイオードの操作を学びました。
1421205　メカトロニクスI,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / 電気工学フレッシュマン演習で作った車を点検しておくと、今後が楽になります。履修前に修理などをして置いて下さい。
1421205　メカトロニクスI,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / アンケートにご回答いただきありがとうございます。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 制御の知識を得ることができた。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 楽しかったです。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 分かりやすかった。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 特になし
