テキスト,テキスト1,講義名,平均評価ポイント,テキスト2,自由記述
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,図の書き方やどのようなデータが必要かを理解できた
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,課題で実際に図を作成することによって深く理解することができました。
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,その日に課題を通して復習することで内容が分かりやすかったです
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,動作分析についてしっかりとしれる。
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,協力して課題解決に向けて取り組むことができた。
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,動作研究について知ることができました。
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,時間研究や動作研究などあらゆる動作、作業を効率化するために複数回記録をとり研究して、より効率化できる作業方法を発見できたので良かった。
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,授業中に課題があり、学んだ内容を復習できるので良かった
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,自分たちでどの作業を分析するか決めて、授業の内容を応用し、作業を分析するのが楽しかった。
80人　　履修者：　99人　　回答率：　80.81%　　回答率ランキング（ 67位　/　260授業中）,"①充分意義があった ( 51人 63.7% )　　
                                   ②ある程度意義があった ( 27人 33.7% )　　
                                   ③あまり意義がなかった ( 1人 1.2% )　　
                                   ④全く意義がなかった ( 1人 1.2% )
      ",1811201　インダストリアル・エンジニアリング,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木）,比較的自由に取り組むことが出来たので、とても良かったです。 この講義は永続的にやってほしいです。
