テキスト,テキスト1,講義名,平均評価ポイント,テキスト2,自由記述
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,楽しくてわかりやすい授業ありがとうございました
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,楽しかったです。
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,とてもわかりやすかった
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,話がとても分かりやすかったです。 課題レポートの二回目がかなり応用的でプログラミング能力を高めるのにいい機会になりました。
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,専門的なプログラミング言語について学べた
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,授業わかりやすかったです。ありがとうございました
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,2回行われた課題が使っていて楽しかったです。
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,C言語について初めて学ぶことが全てであったため、演習の際に少し遅いことがあったが、友達と協力して演習に取り組むことが出来た。
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,プログラミングを学べてよかった
13人　　履修者：　26人　　回答率：　50.00%　　回答率ランキング（ 333位　/　488授業中）,"①充分意義があった ( 3人 23% )　　
                                   ②ある程度意義があった ( 9人 69.2% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 1人 7.6% )
      ",1511101　ＣプログラミングⅠ,平均評価ポイント　　3.78,2024/07/03（水）　～　2024/07/19（金）,解説が丁寧で分かりやすかったです
