テキスト,テキスト1,講義名,平均評価ポイント,テキスト2,自由記述
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,創造力が鍛えられました
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,Webデザインについてこの講義でよく学ぶことができました。ホームページの仕組みなども知ることができて、興味深かったです。ありがとうございました。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,わかりやすかったです。ありがとうございました。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,もともと興味のある分野ではあったのでとても楽しく授業を受けられました。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,授業の説明が丁寧で分かりやすかったです。課題についても解説時間などがあって欲しかったです。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,難しかったです
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,良かった
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,サイト作りが楽しかった
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,わかりやすく、楽しく学べた。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,課題は出しましょう
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,毎回課題があるので、早めに丁寧にやることをおすすめします。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,授業は簡単だが、課題はどこか間違えたら、しらみつぶしで間違いを探さなければならないから、とてもしんどい。教科書を写すのは慎重かつ迅速に行いましょう。最初のアプリ入れる設定が一番難しかった。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,とても楽しい授業です。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,課題を早めにとりかかる。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,しっかり理解して課題をするようにしよう
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,毎週の課題は出しましょう
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,教科書を見たらある程度理解ができる
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,頑張ってください
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,レポートをちゃんとだす。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,提出期限ギリギリではなく、少しずつでもいいので課題をやっておいたほうが後で楽になる。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,授業時間をうまく使って課題を進める。
,,1611204　Webデザイン,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木）,"

            
            
                 アンケートへの回答・コメント有難うございます．この講義では，毎回の講義において演習を中心としてインターネットで最も重要なWeb技術であるHTMLとCSSのコーディングに取り組んで頂きました．Webサイト制作のデザイン知識およびWebページのコーディング能力は，情報（通信）分野でこれから活躍していこうとする者にとって最低限の修める知識であると考えます．本講義で学んだ知識は今後どの分野においても活用できると思いますし，興味をもった学生はさらに自ら進んで高度なWeb技術の修得に努めてください．

            
            "
18人　　履修者：　50人　　回答率：　36.00%　　回答率ランキング（ 226位　/　260授業中）,"①充分意義があった ( 12人 66.6% )　　
                                   ②ある程度意義があった ( 6人 33.3% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1612206　Webデザイン,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木）,ウェブサイト作り面白い
18人　　履修者：　50人　　回答率：　36.00%　　回答率ランキング（ 226位　/　260授業中）,"①充分意義があった ( 12人 66.6% )　　
                                   ②ある程度意義があった ( 6人 33.3% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1612206　Webデザイン,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木）,Webサイトについて知ることができた。
18人　　履修者：　50人　　回答率：　36.00%　　回答率ランキング（ 226位　/　260授業中）,"①充分意義があった ( 12人 66.6% )　　
                                   ②ある程度意義があった ( 6人 33.3% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1612206　Webデザイン,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木）,webデザインについて理解できました。
18人　　履修者：　50人　　回答率：　36.00%　　回答率ランキング（ 226位　/　260授業中）,"①充分意義があった ( 12人 66.6% )　　
                                   ②ある程度意義があった ( 6人 33.3% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1612206　Webデザイン,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木）,webデザインがこんなに面白いとは思わなかった。もう少し勉強したいとおもう
18人　　履修者：　50人　　回答率：　36.00%　　回答率ランキング（ 226位　/　260授業中）,"①充分意義があった ( 12人 66.6% )　　
                                   ②ある程度意義があった ( 6人 33.3% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1612206　Webデザイン,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木）,　webの作成でのデザインや配置方法について、プログラムを通した学習を進めることができました。
