テキスト,テキスト1,講義名,平均評価ポイント,テキスト2,自由記述
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,機械の材料に使われているものの性質などの知識についてこの講義では学ぶことができてよかった。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,特になし
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,特にない
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,暗記が多くて、暗記することが苦手な自分からするとすごく大変な科目だった。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,材料についてたくさんの知識を得ることができたのでとてもいい時間になりました
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,小テストがあるので学習状況を確認できた。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,重要なところをしっかりまとめていただけていたのでわかりやすかった。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,わかりやすい授業だった
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,これまで勉強したこともない分野だったので難しかった。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,特にありません
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,材力についてよく知ることができました。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,復習用のプリントでの学習が理解しやすかった
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,特になし
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,工業の専門的知識が多く、今後に役に立つような内容もあった。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,チタン、銅、鉄、マグネシウム、アルミの5つの金属の特性について詳しく知ることができた。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,覚えることが多かったので知らないことを多く知ることができた。また現象については原因などからしれたので理解も深まった
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,"工業高校で学んだことの復習くらいのつもりで取り組んだけど、講義内容や説明が分かりやすく理解をより深めることができました。
"
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,材料の性質について学ぶことができた。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,もう少し板書の量を増やしてもいいと感じたが、それ以外のペース配分や配布資料などはかなり良かったと思う。
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,"この講義は、計算をしたり公式を覚えることはほとんどないので語句を覚えることが多いので他の講義よりは勉強量が少なくなってしまった
"
,,1321106　機械材料,平均評価ポイント　　3.38,2024/07/03（水）　～　2024/07/19（金）,計算が少なく暗記することが多かったので良かったです。
