テキスト,テキスト1,講義名,平均評価ポイント,テキスト2,自由記述
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,社会や環境についての理解が深まった。ありがとうございました。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,環境社会学を通して環境に対する意識が今までに比べてよくなったと思う。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,わかりやすい講義をありがとうございました。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,環境と社会との関わりや、人々の環境意識について知ることが出来て、より環境について深く知ることが出来た。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,人々が環境に対してどのように考えているかを知ることができてよかったです。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,環境社会学について深く学ぶことが出来ました。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,環境と社会の関わりについて学ぶことが出来た。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,現代社会において、人々の環境問題の認知や考え方についてや、環境問題に関わるさまざまな概念について学ぶことができた。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,社会と環境の関わりをしれた
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,実際に自分でデータを抽出するなどの普段やることのない作業をやることが出来た。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,JUMPソフトの使い方が難しくてよく分からなかった。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,JUMPなどを使い、今後も必要になる分析力を鍛えることが出来たと思います。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,ありがとうございました
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,レジュメが見やすかった
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,環境と生活、社会の関連性を扱う授業でした。 実際の研究結果を基に、気になっていた知識を得たり、自ら分析してみることができる意味のある授業でした。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,ジャンプの使い方を復習しておいた方が良い。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,毎授業の復習。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,毎回課題をきちんと提出する。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,I’ll try my best 
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,課題だそう
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,授業内のプリントと授業後の記述課題をしっかりと行うこと。また、分析課題をしっかりと行い、発表すること
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,課題をしっかりと提出しましょう
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,後半の分析の課題が結構難しいので頑張ってください。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,課題を忘れずに取り組む。
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,レジュメの記入を行う
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,しっかり課題を出す
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,真面目に取り組む
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,まあ授業しっかりとメモをとる事と、ほぼ毎回課題がでるため、忘れないようにしましょう
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,課題提出
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,プリントが多いため無くさないこと
,,1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木）,毎週授業の後、課題を誠実に行い、授業を集中して聞かなければなりません。
39人　　履修者：　101人　　回答率：　38.61%　　回答率ランキング（ 212位　/　260授業中）,"①充分意義があった ( 18人 46.1% )　　
                                   ②ある程度意義があった ( 21人 53.8% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1933315　ゼミナールⅡ,平均評価ポイント　　,2024/07/03（水）　～　2024/07/19（金）,
---人　　履修者：　---人　　回答率：　---%　　回答率ランキング（ ---位　/　---授業中）,"①充分意義があった ( 0人 0% )　　
                                   ②ある程度意義があった ( 0人 0% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,2024/07/03（水）　～　2024/07/19（金）,講義の内容は雑談も交えつつ話してくれたので、面白かったです。ただ、小テストのある時は、なるべく静かにしてほしかっつた。　
---人　　履修者：　---人　　回答率：　---%　　回答率ランキング（ ---位　/　---授業中）,"①充分意義があった ( 0人 0% )　　
                                   ②ある程度意義があった ( 0人 0% )　　
                                   ③あまり意義がなかった ( 0人 0% )　　
                                   ④全く意義がなかった ( 0人 0% )
      ",1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,2024/07/03（水）　～　2024/07/19（金）,スライドの文字を大きくしてほしい
