講義名,平均評価ポイント,自由記述,感情スコア,ポジティブ表現,ネガティブ表現
1923207　環境社会学,平均評価ポイント　　3.46,社会や環境についての理解が深まった。ありがとうございました。,-0.150941647,,"社会(-0.82), や(-0.28), 環境(-0.61), つい(-0.55), 理解(-0.31)"
1923207　環境社会学,平均評価ポイント　　3.46,環境社会学を通して環境に対する意識が今までに比べてよくなったと思う。,-0.17467915,よく(0.92),"環境(-0.61), 社会学(-0.16), 通し(-0.45), 環境(-0.61), 対する(-0.34), 意識(-0.76), 比べ(-0.36), と(-0.22), 思う(-0.90)"
1923207　環境社会学,平均評価ポイント　　3.46,わかりやすい講義をありがとうございました。,-0.047443111,,講義(-0.43)
1923207　環境社会学,平均評価ポイント　　3.46,環境と社会との関わりや、人々の環境意識について知ることが出来て、より環境について深く知ることが出来た。,-0.223199818,,"環境(-0.61), と(-0.22), 社会(-0.82), と(-0.22), や(-0.28), 環境(-0.61), 意識(-0.76), つい(-0.55), 知る(-0.42), 出来(-0.65), 環境(-0.61), つい(-0.55), 知る(-0.42), 出来(-0.65)"
1923207　環境社会学,平均評価ポイント　　3.46,人々が環境に対してどのように考えているかを知ることができてよかったです。,-0.085303826,,"環境(-0.61), 考え(-0.93), 知る(-0.42)"
1923207　環境社会学,平均評価ポイント　　3.46,環境社会学について深く学ぶことが出来ました。,-0.193855923,,"環境(-0.61), 社会学(-0.16), つい(-0.55), 学ぶ(-0.55), 出来(-0.65)"
1923207　環境社会学,平均評価ポイント　　3.46,環境と社会の関わりについて学ぶことが出来た。,-0.242572571,,"環境(-0.61), と(-0.22), 社会(-0.82), つい(-0.55), 学ぶ(-0.55), 出来(-0.65)"
1923207　環境社会学,平均評価ポイント　　3.46,現代社会において、人々の環境問題の認知や考え方についてや、環境問題に関わるさまざまな概念について学ぶことができた。,-0.191597143,,"現代(-0.46), 社会(-0.82), 環境(-0.61), 問題(-0.72), 認知(-0.14), や(-0.28), つい(-0.55), や(-0.28), 環境(-0.61), 問題(-0.72), 概念(-0.42), つい(-0.55), 学ぶ(-0.55)"
1923207　環境社会学,平均評価ポイント　　3.46,社会と環境の関わりをしれた,-0.20638025,,"社会(-0.82), と(-0.22), 環境(-0.61)"
1923207　環境社会学,平均評価ポイント　　3.46,実際に自分でデータを抽出するなどの普段やることのない作業をやることが出来た。,-0.175916435,,"実際(-0.84), データ(-0.43), 抽出(-0.39), ない(-1.00), 作業(-0.74), 出来(-0.65)"
1923207　環境社会学,平均評価ポイント　　3.46,JUMPソフトの使い方が難しくてよく分からなかった。,0.042670167,よく(0.92),ソフト(-0.41)
1923207　環境社会学,平均評価ポイント　　3.46,JUMPなどを使い、今後も必要になる分析力を鍛えることが出来たと思います。,-0.096109619,鍛える(0.99),"今後(-0.53), 必要(-0.92), 出来(-0.65), と(-0.22), 思い(-0.68)"
1923207　環境社会学,平均評価ポイント　　3.46,ありがとうございました,0,,
1923207　環境社会学,平均評価ポイント　　3.46,レジュメが見やすかった,-0.0839312,,レジュメ(-0.42)
1923207　環境社会学,平均評価ポイント　　3.46,環境と生活、社会の関連性を扱う授業でした。 実際の研究結果を基に、気になっていた知識を得たり、自ら分析してみることができる意味のある授業でした。,-0.205045688,,"環境(-0.61), と(-0.22), 生活(-0.94), 社会(-0.82), 扱う(-0.84), 授業(-0.41), 実際(-0.84), 研究(-0.65), 結果(-0.91), 基(-0.61), 気(-0.98), 知識(-0.12), 得(-0.14), 自ら(-0.11), 分析(-0.40), 意味(-0.85), 授業(-0.41)"
1923207　環境社会学,平均評価ポイント　　3.46,ジャンプの使い方を復習しておいた方が良い。,-0.037484485,良い(1.00),"ジャンプ(-0.45), 復習(-0.10), 方(-0.94)"
1923207　環境社会学,平均評価ポイント　　3.46,毎授業の復習。,-0.10115226,,"授業(-0.41), 復習(-0.10)"
1923207　環境社会学,平均評価ポイント　　3.46,毎回課題をきちんと提出する。,0.027477571,きちんと(0.98),"課題(-0.40), 提出(-0.39)"
1923207　環境社会学,平均評価ポイント　　3.46,I’ll try my best,0,,
1923207　環境社会学,平均評価ポイント　　3.46,課題だそう,-0.131732667,,課題(-0.40)
1923207　環境社会学,平均評価ポイント　　3.46,授業内のプリントと授業後の記述課題をしっかりと行うこと。また、分析課題をしっかりと行い、発表すること,-0.206811107,,"授業(-0.41), 内(-0.97), プリント(-0.42), と(-0.22), 授業(-0.41), 後(-0.69), 記述(-0.36), 課題(-0.40), と(-0.22), 分析(-0.40), 課題(-0.40), と(-0.22), 行い(-0.26), 発表(-0.44)"
1923207　環境社会学,平均評価ポイント　　3.46,課題をしっかりと提出しましょう,-0.181990143,,"課題(-0.40), と(-0.22), 提出(-0.39), ましょう(-0.27)"
1923207　環境社会学,平均評価ポイント　　3.46,後半の分析の課題が結構難しいので頑張ってください。,-0.1087305,結構(0.61),"後半(-0.33), 分析(-0.40), 課題(-0.40), 難しい(-1.00)"
1923207　環境社会学,平均評価ポイント　　3.46,課題を忘れずに取り組む。,-0.056456857,,課題(-0.40)
1923207　環境社会学,平均評価ポイント　　3.46,レジュメの記入を行う,-0.1545734,,"レジュメ(-0.42), 記入(-0.35)"
1923207　環境社会学,平均評価ポイント　　3.46,しっかり課題を出す,-0.0987995,,課題(-0.40)
1923207　環境社会学,平均評価ポイント　　3.46,真面目に取り組む,0.321499,真面目(0.96),
1923207　環境社会学,平均評価ポイント　　3.46,まあ授業しっかりとメモをとる事と、ほぼ毎回課題がでるため、忘れないようにしましょう,-0.188988304,,"まあ(-0.44), 授業(-0.41), と(-0.22), メモ(-0.46), 事(-0.94), と(-0.22), 課題(-0.40), ない(-1.00), ましょう(-0.27)"
1923207　環境社会学,平均評価ポイント　　3.46,課題提出,-0.393812,,"課題(-0.40), 提出(-0.39)"
1923207　環境社会学,平均評価ポイント　　3.46,プリントが多いため無くさないこと,-0.202421429,,"プリント(-0.42), ない(-1.00)"
1923207　環境社会学,平均評価ポイント　　3.46,毎週授業の後、課題を誠実に行い、授業を集中して聞かなければなりません。,-0.071024957,誠実(0.99),"授業(-0.41), 後(-0.69), 課題(-0.40), 行い(-0.26), 授業(-0.41), 集中(-0.47)"
1933315　ゼミナールⅡ,平均評価ポイント,～,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,講義の内容は雑談も交えつつ話してくれたので、面白かったです。ただ、小テストのある時は、なるべく静かにしてほしかっつた。,-0.098787524,,"講義(-0.43), 内容(-0.85), 雑談(-0.73), 小(-0.54), テスト(-0.34), 時(-0.75), なるべく(-0.02)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,スライドの文字を大きくしてほしい,-0.182304,,"スライド(-0.51), 文字(-0.95)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングの専門的ことについて学ぶことができた。,-0.084046077,,"つい(-0.55), 学ぶ(-0.55)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,分かりやすかったです。,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,分かりやすく説明してもらえて良かったです,-0.0776338,,説明(-0.78)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,特になし,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,いつもわかりやすい授業ありがとうございます,-0.057972429,,授業(-0.41)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,メモをしっかりとっておく,-0.076547333,,メモ(-0.46)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,～,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,楽しかったです,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,とても面白かったです、有難うございました。,-0.0169067,,とても(-0.17)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティング論についてどうやって企業が伸びたのかなどを知ることができ、今後も絶対に使える知識を得ることができました。,-0.138272257,,"論(-0.45), つい(-0.55), どう(-0.94), 企業(-0.59), 知る(-0.42), 今後(-0.53), 絶対(-0.38), 知識(-0.12), 得る(-0.85)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,色々な企業が取り組んでいるマーケティングなどについて学ぶことができた。,-0.093463167,,"企業(-0.59), つい(-0.55), 学ぶ(-0.55)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,様々な事象をもとに学ぶケースが多かったので分かりやすかった。覚えることが多いので復習が大切だと感じた。,-0.103038139,,"事象(-0.35), 学ぶ(-0.55), ケース(-0.29), 覚える(-0.72), 復習(-0.10), と(-0.22), 感じ(-0.97)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,実際に存在する企業の例を取り入れることでわかりやすい講義だった。,-0.205553294,,"実際(-0.84), 存在(-0.66), 企業(-0.59), 例(-0.97), 講義(-0.43)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,学べた,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,とても分かりやすく、面白い授業でした。また受けたいです。,0.016930643,面白い(0.99),"とても(-0.17), 授業(-0.41), 受け(-0.18)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,メモをとる時間がしっかり設けられており、メモした分とそのあとの説明でしっかりと理解を深めることが出来た。,-0.16579571,,"メモ(-0.46), 時間(-0.95), メモ(-0.46), 分(-0.70), と(-0.22), 説明(-0.78), と(-0.22), 理解(-0.31), 深める(-0.40), 出来(-0.65)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,多様な企業のマーケティングについて学ぶことができ、大変興味のある授業でした,-0.1701686,,"多様(-0.48), 企業(-0.59), つい(-0.55), 学ぶ(-0.55), 大変(-0.37), 興味(-0.47), 授業(-0.41)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,特になし,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,スライドのメモ取る時間が長かったのでゆっくりメモできてよかったです。,-0.147056444,,"スライド(-0.51), メモ(-0.46), 時間(-0.95), ゆっくり(-0.27), メモ(-0.46)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングについて学ぶことができた。,-0.1092599,,"つい(-0.55), 学ぶ(-0.55)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,いろんな企業のマーケティングについて知ることができたので良かったです。,-0.086525389,,"企業(-0.59), つい(-0.55), 知る(-0.42)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,販売士検定や経営学概論にも重複する内容だったので理解しやすかったのと、スライドの書き方が毎回同じでノートがとても取りやすかった。,-0.117628086,,"検定(-0.23), や(-0.28), 概論(-0.55), 重複(-0.34), 内容(-0.85), 理解(-0.31), と(-0.22), スライド(-0.51), 書き方(-0.33), ノート(-0.33), とても(-0.17)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングにおける考え方や専門的な単語などの知識を得ることができました,-0.087657421,,"や(-0.28), 単語(-0.41), 知識(-0.12), 得る(-0.85)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングについてよく理解できた,0.008686375,よく(0.92),"つい(-0.55), 理解(-0.31)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングについての知識を一から学ぶことができました。全くマーケティングに触れたことがなかったので不安でしたが、基本的なことから教えて頂けてとても分かりやすがったです。,-0.079231426,,"つい(-0.55), 知識(-0.12), 学ぶ(-0.55), 全く(-0.89), 不安(-0.83), 教え(-0.27), とても(-0.17), やす(-0.35)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,前期授業ありがとうございました。,-0.096979714,,"前期(-0.27), 授業(-0.41)"
